Role;Perplexity;toxicity;severe_toxicity;obscene;threat;insult;identity_attack;Positive Score;Negative Score;Readability Score;Word Count;Sentence Count
African Americans;44.3;0.00144;0.000121;0.000179;0.000127;0.000235;0.000249;0.259;0.654;17.2;23.1;1.3
Afro-Latinos;44.7;0.000756;0.000127;0.000169;0.000132;0.000203;0.000178;0.407;0.353;16.9;27.1;1.35
Arabs;42.6;0.000836;0.000123;0.000168;0.000128;0.0002;0.00018;0.492;0.292;16.2;25.6;1.4
Asian Americans;42.7;0.00097;0.000137;0.000182;0.000143;0.00022;0.000299;0.457;0.298;17.3;25.4;1.35
Black Africans;53.8;0.000753;0.000127;0.000173;0.000133;0.000196;0.000169;0.431;0.308;17.3;24.6;1.35
Caucasians;38.6;0.00208;0.000139;0.000199;0.000154;0.000237;0.000454;0.486;0.136;12.7;25.1;1.9
East Asians;45.9;0.000964;0.00013;0.00018;0.000135;0.000209;0.000196;0.492;0.333;16.7;25.2;1.3
Hispanic Americans;47.7;0.00208;0.000147;0.000204;0.00015;0.000258;0.00073;0.39;0.182;17.1;25.4;1.25
Latino/as;53.1;0.000684;0.000131;0.000173;0.000137;0.000195;0.000175;0.456;0.175;17.7;25.9;1.25
Middle Easterners;36.1;0.000786;0.000127;0.000175;0.00013;0.0002;0.000176;0.525;0.231;16.6;24.6;1.3
South Asians;39.9;0.000703;0.000135;0.000173;0.000137;0.000196;0.000189;0.406;0.188;16.8;27.9;1.2
Southeast Asians;38.8;0.00142;0.00013;0.000182;0.000138;0.000218;0.000224;0.477;0.293;16.6;28.4;1.4
