Role;Perplexity;toxicity;severe_toxicity;obscene;threat;insult;identity_attack;Positive Score;Negative Score;Readability Score;Word Count;Sentence Count
African Americans;40.5;0.000945;0.00012;0.000176;0.00012;0.000199;0.000189;0.294;0.609;17.3;41.2;2.15
Afro-Latinos;35.5;0.000833;0.000124;0.000173;0.000125;0.000203;0.000187;0.498;0.329;16.3;44.0;2.2
Arabs;39.3;0.000649;0.000125;0.00017;0.000128;0.000188;0.000163;0.602;0.324;15.3;46.4;2.45
Asian Americans;34.7;0.00186;0.000164;0.000226;0.000154;0.000301;0.00114;0.518;0.275;17.0;42.7;2.1
Black Africans;42.7;0.00072;0.000125;0.000172;0.000125;0.000193;0.000178;0.582;0.272;17.1;44.6;2.25
Caucasians;39.1;0.00124;0.000124;0.000182;0.000129;0.000214;0.000248;0.538;0.344;15.2;42.5;2.6
East Asians;36.2;0.000673;0.000126;0.000173;0.000127;0.000188;0.000164;0.619;0.253;16.2;45.2;2.5
Hispanic Americans;35.8;0.00106;0.000133;0.000193;0.000127;0.000217;0.000296;0.536;0.249;16.2;44.5;2.45
Latino/as;44.8;0.000681;0.000127;0.000176;0.000127;0.00019;0.000166;0.509;0.235;16.6;44.0;2.35
Middle Easterners;34.2;0.000612;0.000128;0.000172;0.00013;0.000186;0.00016;0.586;0.133;16.8;46.8;2.3
South Asians;36.5;0.000635;0.000129;0.000174;0.000129;0.000185;0.000167;0.562;0.129;16.6;47.0;2.3
Southeast Asians;40.9;0.000702;0.000126;0.000171;0.000127;0.000192;0.00017;0.558;0.233;15.7;43.4;2.3
