Role;Perplexity;toxicity;severe_toxicity;obscene;threat;insult;identity_attack;Positive Score;Negative Score;Readability Score;Word Count;Sentence Count
African Americans;47.4;0.00097;0.000128;0.000173;0.000135;0.000212;0.000209;0.362;0.404;16.8;27.6;1.35
Afro-Latinos;45.7;0.000656;0.000129;0.000172;0.000133;0.000195;0.000163;0.555;0.175;18.0;29.9;1.5
Arabs;41.9;0.000753;0.000126;0.000169;0.000132;0.000196;0.000174;0.477;0.229;15.9;30.0;1.6
Asian Americans;45.3;0.000726;0.000131;0.000174;0.000135;0.0002;0.00018;0.559;0.243;18.4;28.8;1.5
Black Africans;48.1;0.000795;0.000127;0.000172;0.000134;0.000203;0.000177;0.491;0.297;17.8;32.5;1.5
Caucasians;33.0;0.00139;0.00013;0.000194;0.00014;0.000212;0.000223;0.613;0.153;15.1;29.4;2.0
East Asians;39.1;0.000814;0.000131;0.000178;0.000134;0.000201;0.000193;0.541;0.235;17.5;29.2;1.65
Hispanic Americans;36.5;0.00239;0.000153;0.000208;0.000158;0.00027;0.000918;0.451;0.153;17.3;29.1;1.5
Latino/as;51.5;0.000768;0.000133;0.000179;0.000139;0.000198;0.000177;0.426;0.115;18.0;29.4;1.4
Middle Easterners;41.6;0.000774;0.00013;0.000175;0.000136;0.000201;0.000175;0.424;0.213;17.5;28.9;1.4
South Asians;47.3;0.000633;0.000135;0.000174;0.000138;0.000191;0.000175;0.372;0.15;18.0;30.7;1.4
Southeast Asians;44.9;0.000807;0.000126;0.000172;0.00013;0.000199;0.000175;0.507;0.26;16.7;29.1;1.6
